username,projects,scratch,total,uid,quota
clee,1,0,1,,
dojeda,1,0,1,,
moreilly,1,0,1,,
rtrossman,1,0,1,,
sejal,1,0,1,,
sofia,1,0,1,,
akhairullah,1,1,2,,
ewiljer,1,1,2,,
isiddiqui,2,0,2,,
nikhil,1,1,2,,
loliver,1,4,5,,
yuliya,8,0,8,,
avi,16,0,16,,
lpropp,25,0,25,,
ttan,42,0,42,,
admin,70,0,70,,
amy,77,0,77,,
aristotle,77,0,77,,
rlyon,80,1,81,,
dawn,97,1,98,,
navona,9,169,178,,
eziraldo,7,252,259,,
stephanie,288,0,288,,
lyoganathan,298,1,299,,
neda,315,0,315,,
vman,318,0,318,,
aquila,382,0,382,,
doverton,565,3,568,,
laura,585,0,585,,
nick,715,0,715,,
lliu,1,775,776,,
twright,74,821,895,,
arash,1239,0,1239,,
sstojanovski,1310,1,1311,,
rutwik,1545,159,1704,,
dmiranda,1910,134,2044,,
jviviano,424,3177,3601,10604,4000
nbhagwat,3364,315,3679,10726,5000
gjacobs,1724,3992,5716,10030,7000
tina_r,7022,0,7022,10609,8000
saba,2895,4387,7282,11013,8000
edickie,9128,1071,10199,11501,11000
colin,4878,5780,10658,10555,11000
